DBN,Zip_Code,Lat,Lon,Private_School_Count,Planned_Housing_Units,School_Age_Pop_2019,School_Age_Pop_2020,School_Age_Pop_2021,School_Age_Pop_2022,School_Age_Pop_2023
02M047,10010,40.73837,-73.9813,0,0.0,4563,4603,4318,4414,4066
14K610,11222,40.72145,-73.9533,0,0.0,4100,4207,4984,5099,5301
06M540,10031,40.8185,-73.9499,0,0.0,9722,9683,10108,9190,9144
24Q290,,,,0,0.0,0,0,0,0,0
21K410,11235,40.58263,-73.9687,0,0.0,14390,13781,15047,14176,13916
84X491,,,,0,0.0,0,0,0,0,0
30Q301,11101,40.74296,-73.9592,0,0.0,5611,5773,5762,5053,5688
17K382,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
18K637,11236,40.63445,-73.9169,0,0.0,22945,22174,22914,21790,20165
32K403,11237,40.69646,-73.9118,0,0.0,10015,8573,8769,7496,6454
17K751,11213,40.67591,-73.9393,0,0.0,15552,14948,15665,16216,16175
09X365,10453,40.84942,-73.9152,0,0.0,22678,21380,21783,21673,20105
30Q235,,,,0,0.0,0,0,0,0,0
10X363,,,,0,0.0,0,0,0,0,0
11X270,10466,40.88824,-73.8527,0,0.0,17073,16360,17106,16866,18278
02M546,10003,40.73536,-73.9871,0,85403.0,3374,3923,3721,3866,3792
19K404,11208,,,0,0.0,27510,27624,29442,28716,28382
30Q575,11101,40.75114,-73.9376,0,0.0,5611,5773,5762,5053,5688
07X343,,,,0,0.0,0,0,0,0,0
13K492,,,,0,0.0,0,0,0,0,0
24Q264,11101,40.74418,-73.937,0,0.0,5611,5773,5762,5053,5688
17K408,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
19K618,11208,40.693,-73.8693,0,0.0,27510,27624,29442,28716,28382
27Q309,11691,40.60154,-73.764,0,0.0,20928,20909,22035,20933,19479
07X298,,,,0,0.0,0,0,0,0,0
84Q359,,,,0,0.0,0,0,0,0,0
12X341,,,,0,0.0,0,0,0,0,0
84K774,,,,0,0.0,0,0,0,0,0
84K680,,,,0,0.0,0,0,0,0,0
84K626,,,,0,0.0,0,0,0,0,0
84K538,,,,0,0.0,0,0,0,0,0
84K356,,,,0,0.0,0,0,0,0,0
84K358,,,,0,0.0,0,0,0,0,0
84K508,,,,0,0.0,0,0,0,0,0
84Q416,,,,0,0.0,0,0,0,0,0
84K788,,,,0,0.0,0,0,0,0,0
84K784,,,,0,0.0,0,0,0,0,0
84K876,,,,0,0.0,0,0,0,0,0
84X611,,,,0,0.0,0,0,0,0,0
30Q126,,,,0,0.0,0,0,0,0,0
07X600,10451,40.81865,-73.9199,0,0.0,12321,12131,11998,12642,11031
32K554,11237,40.69738,-73.9132,0,0.0,10015,8573,8769,7496,6454
84M705,,,,0,0.0,0,0,0,0,0
84M390,,,,0,0.0,0,0,0,0,0
84X592,,,,0,0.0,0,0,0,0,0
84X471,,,,0,0.0,0,0,0,0,0
06M311,,,,0,0.0,0,0,0,0,0
10X344,,,,0,0.0,0,0,0,0,0
22K240,,,,0,0.0,0,0,0,0,0
08X376,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
12X531,,,,0,0.0,0,0,0,0,0
08X367,10473,40.81504,-73.8561,0,0.0,15052,14306,14139,13602,12983
02M630,10019,40.75925,-73.9672,0,0.0,3451,3057,2934,2766,2716
12X446,,,,0,0.0,0,0,0,0,0
17K646,,,,0,0.0,0,0,0,0,0
11X299,10469,40.86044,-73.8607,0,0.0,15217,14965,16427,15948,15741
84X460,,,,0,0.0,0,0,0,0,0
27Q400,11434,40.67395,-73.7827,0,0.0,14827,14165,14986,15461,14701
24Q610,11101,40.74331,-73.9296,0,0.0,5611,5773,5762,5053,5688
30Q580,11106,40.75498,-73.927,0,0.0,5442,5452,6062,5964,6246
02M442,,,,0,0.0,0,0,0,0,0
01M696,10002,40.71828,-73.9761,0,272414.0,9477,9733,10321,10028,10121
24Q299,11101,40.74418,-73.937,0,0.0,5611,5773,5762,5053,5688
02M411,10010,40.74189,-73.9857,0,0.0,4563,4603,4318,4414,4066
02M276,,,,0,0.0,0,0,0,0,0
11X169,,,,0,0.0,0,0,0,0,0
11X532,,,,0,0.0,0,0,0,0,0
26Q495,11361,40.7714,-73.781,0,0.0,4684,4989,5733,5517,6100
03M479,10036,40.76086,-73.9963,0,0.0,2074,1861,2097,2108,2119
13K595,11216,40.68549,-73.9537,0,0.0,8957,8944,8901,9680,8428
10X077,,,,0,0.0,0,0,0,0,0
84K648,,,,0,0.0,0,0,0,0,0
84K782,,,,0,0.0,0,0,0,0,0
84K037,,,,0,0.0,0,0,0,0,0
25Q294,,,,0,0.0,0,0,0,0,0
10X434,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
13K670,11205,40.69539,-73.9688,0,0.0,13231,13800,15223,15487,14475
29Q313,11411,40.69879,-73.7463,0,0.0,3543,3612,3618,3496,3484
26Q415,11364,40.75234,-73.7573,0,0.0,7145,7153,7989,7948,7417
84X613,,,,0,0.0,0,0,0,0,0
16K455,11213,40.67848,-73.9316,0,0.0,15552,14948,15665,16216,16175
84X465,,,,0,0.0,0,0,0,0,0
84R076,,,,0,0.0,0,0,0,0,0
13K915,,,,0,0.0,0,0,0,0,0
16K627,,,,0,0.0,0,0,0,0,0
84X628,,,,0,0.0,0,0,0,0,0
84X387,,,,0,0.0,0,0,0,0,0
84X629,,,,0,0.0,0,0,0,0,0
84X586,,,,0,0.0,0,0,0,0,0
08X424,,,,0,0.0,0,0,0,0,0
10X264,10458,40.85539,-73.8825,0,0.0,23389,23063,23286,21249,19679
11X290,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
84X419,,,,0,0.0,0,0,0,0,0
11X545,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
11X355,,,,0,0.0,0,0,0,0,0
08X537,,,,0,0.0,0,0,0,0,0
84X619,,,,0,0.0,0,0,0,0,0
08X432,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
12X479,10456,40.82693,-73.9006,0,0.0,25983,24695,24654,23966,24039
09X260,10456,40.83388,-73.9028,0,0.0,25983,24695,24654,23966,24039
84X718,,,,0,0.0,0,0,0,0,0
84X484,,,,0,0.0,0,0,0,0,0
84X407,,,,0,0.0,0,0,0,0,0
84X255,,,,0,0.0,0,0,0,0,0
84X579,,,,0,0.0,0,0,0,0,0
84X589,,,,0,0.0,0,0,0,0,0
84X608,,,,0,0.0,0,0,0,0,0
84X620,,,,0,0.0,0,0,0,0,0
84X730,,,,0,0.0,0,0,0,0,0
10X351,10468,40.87996,-73.889,0,0.0,21333,20905,22105,21512,20563
09X227,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
84X398,,,,0,0.0,0,0,0,0,0
08X377,,,,0,0.0,0,0,0,0,0
08X561,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
10X308,,,,0,0.0,0,0,0,0,0
08X392,,,,0,0.0,0,0,0,0,0
07X522,10451,40.81865,-73.9199,0,0.0,12321,12131,11998,12642,11031
09X324,10456,40.82801,-73.9177,0,0.0,25983,24695,24654,23966,24039
10X213,10463,40.87738,-73.9127,0,0.0,15209,14664,15827,15267,15362
12X511,10460,40.83625,-73.8906,0,0.0,15989,15740,15337,15700,16203
84X389,,,,0,0.0,0,0,0,0,0
11X326,,,,0,0.0,0,0,0,0,0
07X381,,,,0,0.0,0,0,0,0,0
11X249,10475,40.87404,-73.8317,0,0.0,6746,7858,7368,8562,8044
10X439,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
09X413,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
11X418,10462,40.85158,-73.8644,0,0.0,16088,16877,18654,18263,17730
11X253,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
09X412,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
09X403,10456,40.82746,-73.9039,0,0.0,25983,24695,24654,23966,24039
11X265,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
12X267,10456,40.82693,-73.9006,0,0.0,25983,24695,24654,23966,24039
09X525,10457,40.84325,-73.903,0,0.0,22636,23171,24307,23525,22466
07X527,10451,40.82183,-73.9224,0,0.0,12321,12131,11998,12642,11031
07X625,,,,0,0.0,0,0,0,0,0
12X691,,,,0,0.0,0,0,0,0,0
11X556,,,,0,0.0,0,0,0,0,0
84X703,,,,0,0.0,0,0,0,0,0
12X480,,,,0,0.0,0,0,0,0,0
08X349,10461,40.83978,-73.8396,0,0.0,9899,10791,11430,11027,11036
09X505,10451,40.82746,-73.919,0,0.0,12321,12131,11998,12642,11031
10X284,10463,40.87738,-73.9127,0,0.0,15209,14664,15827,15267,15362
08X269,10459,40.82039,-73.893,0,0.0,12847,12566,13486,13671,13864
10X546,10463,40.87738,-73.9127,0,0.0,15209,14664,15827,15267,15362
09X323,,,,0,0.0,0,0,0,0,0
11X508,10469,40.86044,-73.8607,0,0.0,15217,14965,16427,15948,15741
13K553,,,,0,0.0,0,0,0,0,0
17K547,11225,40.66981,-73.9607,0,0.0,10174,9657,10247,9790,9665
14K414,,,,0,0.0,0,0,0,0,0
17K705,,,,0,0.0,0,0,0,0,0
84K652,,,,0,0.0,0,0,0,0,0
18K578,,,,0,0.0,0,0,0,0,0
16K628,,,,0,0.0,0,0,0,0,0
84K701,,,,0,0.0,0,0,0,0,0
15K448,11231,40.67946,-74.002,0,0.0,9600,9519,10071,8980,9554
22K555,11218,40.64906,-73.9723,0,0.0,19622,20016,21012,19225,17945
23K493,11233,40.67446,-73.9127,0,0.0,19189,18062,19701,17353,16999
13K412,11205,40.69202,-73.9582,0,0.0,13231,13800,15223,15487,14475
18K566,11236,40.63445,-73.9169,0,0.0,22945,22174,22914,21790,20165
23K643,,,,0,0.0,0,0,0,0,0
84K791,,,,0,0.0,0,0,0,0,0
84K780,,,,0,0.0,0,0,0,0,0
84K892,,,,0,0.0,0,0,0,0,0
23K664,,,,0,0.0,0,0,0,0,0
84K731,,,,0,0.0,0,0,0,0,0
15K423,11201,40.69001,-73.9894,0,0.0,10847,11509,12569,12300,11344
19K557,,,,0,0.0,0,0,0,0,0
16K498,11221,40.6884,-73.9206,0,0.0,16185,16512,16496,15769,15454
13K616,,,,0,0.0,0,0,0,0,0
15K656,11217,40.68395,-73.9803,0,0.0,7473,8190,7937,8135,7772
17K745,11203,40.65867,-73.9438,0,0.0,15813,15765,15236,14669,14275
13K439,11201,40.69733,-73.9845,0,0.0,10847,11509,12569,12300,11344
19K639,11208,40.693,-73.8693,0,0.0,27510,27624,29442,28716,28382
84K803,,,,0,0.0,0,0,0,0,0
23K599,,,,0,0.0,0,0,0,0,0
14K449,11206,40.70977,-73.9445,0,0.0,24976,24502,25763,24655,24192
14K488,11211,40.71556,-73.9548,0,0.0,25215,26359,13969,13921,13524
84K707,,,,0,0.0,0,0,0,0,0
84K879,,,,0,0.0,0,0,0,0,0
84K766,,,,0,0.0,0,0,0,0,0
84K928,,,,0,0.0,0,0,0,0,0
84K937,,,,0,0.0,0,0,0,0,0
84K740,,,,0,0.0,0,0,0,0,0
17K548,11225,40.66981,-73.9607,0,0.0,10174,9657,10247,9790,9665
20K686,,,,0,0.0,0,0,0,0,0
18K763,,,,0,0.0,0,0,0,0,0
21K690,11214,40.60498,-73.9951,0,0.0,19629,19278,20314,19452,19359
13K430,11217,40.6889,-73.9764,0,0.0,7473,8190,7937,8135,7772
18K567,11236,40.63445,-73.9169,0,0.0,22945,22174,22914,21790,20165
84K758,,,,0,0.0,0,0,0,0,0
21K840,,,,0,0.0,0,0,0,0,0
84M522,,,,0,0.0,0,0,0,0,0
17K568,,,,0,0.0,0,0,0,0,0
84K737,,,,0,0.0,0,0,0,0,0
23K363,,,,0,0.0,0,0,0,0,0
84K710,,,,0,0.0,0,0,0,0,0
84K793,,,,0,0.0,0,0,0,0,0
32K564,,,,0,0.0,0,0,0,0,0
32K556,11221,40.69544,-73.9273,0,0.0,16185,16512,16496,15769,15454
02M393,10019,40.76366,-73.9903,0,0.0,3451,3057,2934,2766,2716
26Q315,11427,40.73389,-73.7397,0,0.0,5194,5111,5174,4988,4460
29Q326,11423,40.71186,-73.7712,0,0.0,5816,5764,6073,5321,5277
84K759,,,,0,0.0,0,0,0,0,0
84X627,,,,0,0.0,0,0,0,0,0
84M204,,,,0,0.0,0,0,0,0,0
84X599,,,,0,0.0,0,0,0,0,0
07X548,10451,40.82183,-73.9224,0,0.0,12321,12131,11998,12642,11031
01M650,,,,0,0.0,0,0,0,0,0
06M513,,,,0,0.0,0,0,0,0,0
28Q072,,,,0,0.0,0,0,0,0,0
10X442,10468,40.86906,-73.8971,0,0.0,21333,20905,22105,21512,20563
84K790,,,,0,0.0,0,0,0,0,0
04M555,10029,40.79365,-73.9485,0,0.0,15698,14415,14207,13641,14093
04M497,,,,0,0.0,0,0,0,0,0
04M964,,,,0,0.0,0,0,0,0,0
84Q083,,,,0,0.0,0,0,0,0,0
84Q340,,,,0,0.0,0,0,0,0,0
27Q262,11694,40.58601,-73.8253,0,0.0,4075,4453,4633,4844,4923
84X429,,,,0,0.0,0,0,0,0,0
02M615,10013,40.72463,-74.0051,0,0.0,4780,4440,4259,4145,3789
84X124,,,,0,0.0,0,0,0,0,0
84X554,,,,0,0.0,0,0,0,0,0
23K401,,,,0,0.0,0,0,0,0,0
06M293,10040,40.86095,-73.9301,0,0.0,7895,8175,8043,7658,6566
02M933,,,,0,0.0,0,0,0,0,0
13K674,11201,40.69544,-73.9861,0,0.0,10847,11509,12569,12300,11344
24Q293,11373,40.74323,-73.8715,0,0.0,18592,19984,21868,21933,20647
17K600,11225,40.66981,-73.9607,0,0.0,10174,9657,10247,9790,9665
09X564,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
15K519,11201,40.68487,-73.9909,0,0.0,10847,11509,12569,12300,11344
29Q355,,,,0,0.0,0,0,0,0,0
25Q379,,,,0,0.0,0,0,0,0,0
84K807,,,,0,0.0,0,0,0,0,0
11X288,10469,40.86044,-73.8607,0,0.0,15217,14965,16427,15948,15741
05M362,10027,40.81079,-73.9557,0,0.0,11463,11258,11660,11935,11628
03M258,,,,0,0.0,0,0,0,0,0
06M346,10032,40.8337,-73.9421,0,0.0,9206,7593,7756,8409,7339
06M328,,,,0,0.0,0,0,0,0,0
84K702,,,,0,0.0,0,0,0,0,0
84K536,,,,0,0.0,0,0,0,0,0
07X427,10451,40.81571,-73.93,0,0.0,12321,12131,11998,12642,11031
29Q356,,,,0,0.0,0,0,0,0,0
84K789,,,,0,0.0,0,0,0,0,0
09X327,10452,40.8425,-73.9161,0,0.0,21601,21041,22573,21495,21170
31R470,,,,0,0.0,0,0,0,0,0
07X359,,,,0,0.0,0,0,0,0,0
84K744,,,,0,0.0,0,0,0,0,0
14K577,,,,0,0.0,0,0,0,0,0
11X189,,,,0,0.0,0,0,0,0,0
11X462,,,,0,0.0,0,0,0,0,0
24Q311,,,,0,0.0,0,0,0,0,0
84X612,,,,0,0.0,0,0,0,0,0
10X447,,,,0,0.0,0,0,0,0,0
10X524,10458,40.85539,-73.8825,0,0.0,23389,23063,23286,21249,19679
31R047,10314,40.58196,-74.1593,0,0.0,19428,19163,19965,20137,19404
12X626,,,,0,0.0,0,0,0,0,0
18K629,11203,40.64773,-73.9222,0,0.0,15813,15765,15236,14669,14275
84K792,,,,0,0.0,0,0,0,0,0
31R450,10301,40.64544,-74.0821,0,0.0,7807,7902,7625,8349,8721
15K463,11215,40.66926,-73.9786,0,0.0,15164,15260,16437,16175,15342
29Q037,,,,0,0.0,0,0,0,0,0
84K910,,,,0,0.0,0,0,0,0,0
19K659,11208,40.693,-73.8693,0,0.0,27510,27624,29442,28716,28382
28Q048,,,,0,0.0,0,0,0,0,0
84M350,,,,0,0.0,0,0,0,0,0
84M065,,,,0,0.0,0,0,0,0,0
84M481,,,,0,0.0,0,0,0,0,0
10X440,10468,40.87996,-73.889,0,0.0,21333,20905,22105,21512,20563
15K429,11201,40.68501,-73.9933,0,0.0,10847,11509,12569,12300,11344
10X549,10468,40.86906,-73.8971,0,0.0,21333,20905,22105,21512,20563
13K869,,,,0,0.0,0,0,0,0,0
02M391,,,,0,0.0,0,0,0,0,0
20K768,,,,0,0.0,0,0,0,0,0
25Q409,,,,0,0.0,0,0,0,0,0
27Q336,,,,0,0.0,0,0,0,0,0
29Q381,,,,0,0.0,0,0,0,0,0
30Q389,,,,0,0.0,0,0,0,0,0
13K313,,,,0,0.0,0,0,0,0,0
06M103,,,,0,0.0,0,0,0,0,0
17K012,,,,0,0.0,0,0,0,0,0
84X482,,,,0,0.0,0,0,0,0,0
13K265,11205,40.69718,-73.9761,0,0.0,13231,13800,15223,15487,14475
84M382,,,,0,0.0,0,0,0,0,0
84X639,,,,0,0.0,0,0,0,0,0
84X614,,,,0,0.0,0,0,0,0,0
09X329,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
12X190,,,,0,0.0,0,0,0,0,0
09X231,10457,40.84537,-73.8975,0,0.0,22636,23171,24307,23525,22466
23K644,11233,40.67812,-73.9151,0,0.0,19189,18062,19701,17353,16999
29Q327,11434,40.69172,-73.7789,0,0.0,14827,14165,14986,15461,14701
05M148,10030,40.81723,-73.9472,0,0.0,6092,5908,6376,5793,5977
84X635,,,,0,0.0,0,0,0,0,0
01M364,,,,0,0.0,0,0,0,0,0
12X271,10460,40.83682,-73.8877,0,0.0,15989,15740,15337,15700,16203
84K929,,,,0,0.0,0,0,0,0,0
18K673,,,,0,0.0,0,0,0,0,0
30Q329,,,,0,0.0,0,0,0,0,0
84K934,,,,0,0.0,0,0,0,0,0
84M518,,,,0,0.0,0,0,0,0,0
84M168,,,,0,0.0,0,0,0,0,0
19K677,,,,0,0.0,0,0,0,0,0
19K409,11207,40.6611,-73.8867,0,0.0,20716,21588,23752,21806,20433
19K678,,,,0,0.0,0,0,0,0,0
79Q344,,,,0,0.0,0,0,0,0,0
01M450,10009,40.72915,-73.9825,0,0.0,6410,6210,6542,6144,6049
02M267,,,,0,0.0,0,0,0,0,0
02M114,,,,0,0.0,0,0,0,0,0
14K477,11211,40.71113,-73.9389,0,0.0,25215,26359,13969,13921,13524
25Q281,11355,40.74943,-73.8214,0,0.0,13769,13982,13278,12509,12705
17K352,,,,0,0.0,0,0,0,0,0
32K545,11221,40.69472,-73.9293,0,0.0,16185,16512,16496,15769,15454
84K911,,,,0,0.0,0,0,0,0,0
03M505,,,,0,0.0,0,0,0,0,0
21K525,11230,40.61967,-73.9591,0,0.0,24658,24071,25279,24631,23815
14K685,11211,40.70554,-73.9557,0,0.0,25215,26359,13969,13921,13524
02M416,10021,40.77029,-73.9533,0,0.0,6901,6532,7053,6414,6137
10X382,,,,0,0.0,0,0,0,0,0
17K353,,,,0,0.0,0,0,0,0,0
02M225,,,,0,0.0,0,0,0,0,0
84Q385,,,,0,0.0,0,0,0,0,0
24Q211,,,,0,0.0,0,0,0,0,0
84K406,,,,0,0.0,0,0,0,0,0
84X606,,,,0,0.0,0,0,0,0,0
02M394,,,,0,0.0,0,0,0,0,0
12X383,,,,0,0.0,0,0,0,0,0
30Q258,11106,40.75647,-73.9326,0,0.0,5442,5452,6062,5964,6246
10X397,,,,0,0.0,0,0,0,0,0
27Q334,11419,40.69301,-73.8294,0,0.0,8898,8769,8474,8226,7891
27Q314,11420,40.67502,-73.8167,0,0.0,9004,9231,9922,9180,9443
04M372,10029,40.79256,-73.9423,0,0.0,15698,14415,14207,13641,14093
02M294,10002,40.71733,-73.9893,0,272414.0,9477,9733,10321,10028,10121
32K562,,,,0,0.0,0,0,0,0,0
84K593,,,,0,0.0,0,0,0,0,0
84K712,,,,0,0.0,0,0,0,0,0
29Q265,11413,40.66903,-73.7577,0,0.0,8786,8475,9381,9026,9405
09X250,10456,40.83388,-73.9028,0,0.0,25983,24695,24654,23966,24039
12X251,10460,40.83625,-73.8906,0,0.0,15989,15740,15337,15700,16203
84K704,,,,0,0.0,0,0,0,0,0
84K742,,,,0,0.0,0,0,0,0,0
84K333,,,,0,0.0,0,0,0,0,0
84K379,,,,0,0.0,0,0,0,0,0
02M303,10019,40.76547,-73.9927,0,0.0,3451,3057,2934,2766,2716
12X314,,,,0,0.0,0,0,0,0,0
84X705,,,,0,0.0,0,0,0,0,0
84X233,,,,0,0.0,0,0,0,0,0
84X472,,,,0,0.0,0,0,0,0,0
84X640,,,,0,0.0,0,0,0,0,0
12X682,10460,40.83121,-73.8858,0,0.0,15989,15740,15337,15700,16203
12X286,,,,0,0.0,0,0,0,0,0
19K502,11207,40.66687,-73.8951,0,0.0,20716,21588,23752,21806,20433
03M485,10023,40.7742,-73.986,0,0.0,8483,8579,9261,9257,9970
84K933,,,,0,0.0,0,0,0,0,0
25Q460,11354,40.76489,-73.8268,0,0.0,8492,7965,7791,7283,7109
25Q263,11355,40.75996,-73.8184,0,0.0,13769,13982,13278,12509,12705
02M288,10019,40.76547,-73.9927,0,0.0,3451,3057,2934,2766,2716
10X437,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
10X438,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
28Q440,11375,40.73002,-73.844,0,0.0,13664,13015,14100,13563,14206
01M458,,,,0,0.0,0,0,0,0,0
13K691,,,,0,0.0,0,0,0,0,0
20K490,11209,40.62683,-74.0381,0,0.0,12544,13048,14291,14149,14042
31R010,,,,0,0.0,0,0,0,0,0
84Q380,,,,0,0.0,0,0,0,0,0
26Q430,11365,40.74088,-73.795,0,0.0,9033,8600,9683,10057,8790
03M417,10024,40.78613,-73.9745,0,0.0,9713,10381,11941,11023,10463
30Q501,11106,40.7561,-73.9252,0,0.0,5442,5452,6062,5964,6246
20K505,11204,40.6213,-73.9826,0,0.0,21546,21919,23627,24145,25677
05M499,10039,40.82399,-73.9357,0,0.0,6581,6306,6165,6564,6512
03M860,10026,40.80261,-73.9542,0,0.0,7267,7464,7791,7460,7007
09X517,10456,40.83349,-73.904,0,0.0,25983,24695,24654,23966,24039
12X273,,,,0,0.0,0,0,0,0,0
27Q260,11691,40.60154,-73.764,0,0.0,20928,20909,22035,20933,19479
23K514,11212,40.66557,-73.9121,0,0.0,16247,15904,17099,19387,21853
19K452,,,,0,0.0,0,0,0,0,0
84M861,,,,0,0.0,0,0,0,0,0
09X582,,,,0,0.0,0,0,0,0,0
31R064,10314,40.58196,-74.1593,0,0.0,19428,19163,19965,20137,19404
29Q272,11413,40.66903,-73.7577,0,0.0,8786,8475,9381,9026,9405
13K605,11201,40.69544,-73.9861,0,0.0,10847,11509,12569,12300,11344
84M330,,,,0,0.0,0,0,0,0,0
84X487,,,,0,0.0,0,0,0,0,0
84X630,,,,0,0.0,0,0,0,0,0
